ml	CpG.number
chr4_34778079_34778668	0	34
chr4_34966457_34967130	0.16	7
chr4_39991730_39992694	0.38	6
chr4_40071058_40071941	0.08	6
chr4_40102815_40103544	0.26	4
chr4_40496299_40497289	0.08	14
chr4_40518512_40519445	0.09	17
chr4_40544352_40545392	0.42	4
chr4_41029176_41029859	0	5
chr4_41409282_41409861	0.05	2
chr4_41470456_41471630	0.06	9
chr4_41781687_41782276	0	9
chr4_42886702_42887608	0.05	15
chr4_42900841_42901399	0.06	7
chr4_43182448_43183215	0.16	10
chr4_43189335_43189884	0.21	6
chr4_43406202_43407186	0	14
chr4_43492625_43494115	0.01	53
chr4_43969285_43969852	0.08	3
chr4_43979683_43980252	0.01	4
chr4_44269088_44269761	0.07	17
chr4_45418215_45419114	0.03	9
chr4_45471483_45472056	0.04	12
chr4_45530591_45531500	0.02	24
chr4_45672987_45673804	0.05	16
chr4_45689974_45690945	0.22	13
chr4_45831789_45832764	0.06	12
chr4_46061080_46062158	0.03	14
chr4_46202245_46203077	0.03	27
chr4_46361135_46361678	0.09	6
chr4_46634850_46636207	0.38	18
chr4_46655821_46656487	0.15	4
chr4_47225737_47226370	0.04	8
chr4_47251286_47252603	0.09	20
chr4_47265331_47266230	0.89	13
chr4_47312724_47313207	0.02	15
chr4_47352755_47353540	0.01	9
chr4_47504714_47505241	0.08	6
chr4_47813996_47814459	0.12	8
chr4_47979523_47980165	0.3	9
chr4_48152587_48153690	0.29	11
chr4_48327142_48327512	0	1
chr4_48574269_48574929	0.19	8
chr4_48650613_48651244	0.11	10
chr4_48683948_48684333	0.66	2
chr4_49041678_49042143	0.94	1
chr4_49075865_49076516	0.56	3
chr4_49522413_49523158	0.04	15
chr4_50130208_50130752	0.36	3
chr4_53170031_53170644	0.06	1
chr4_53404403_53405194	0.1	10
chr4_53415804_53416315	0.04	6
chr4_53749699_53750958	0.1	18
chr4_54751381_54751899	0.54	2
chr4_54757814_54758921	0.02	26
chr4_54773846_54775028	0.14	5
chr4_55316430_55317076	0.08	6
chr4_55329621_55330406	0.05	8
chr4_55699849_55700243	0.22	8
chr4_56621260_56622161	0.32	8
chr4_56965613_56966061	0.02	5
chr4_57318122_57319079	0.14	11
chr4_57333934_57334848	0.49	18
chr4_57556988_57557489	0.33	4
chr4_57622619_57623425	0.02	7
chr4_58032477_58033194	0.35	4
chr4_58174397_58175089	0.65	5
chr4_58400786_58402930	0.21	28
chr4_58477585_58478226	0.24	10
chr4_58867229_58867882	0.32	7
chr4_59380642_59381712	0.03	16
chr4_59411146_59411775	0.12	14
chr4_59625693_59626954	0.03	54
chr4_61834964_61835718	0.2	4
chr4_62313444_62314032	0.28	5
chr4_62458861_62459570	0.05	7
chr4_62471987_62472516	0.15	2
chr4_62780517_62781145	0.11	17
chr4_62870425_62871077	0.6	14
chr4_63068062_63069303	0.34	18
chr4_63233483_63234415	0.15	8
chr4_63275243_63275721	0.75	8
chr4_63281716_63282200	0.62	9
chr4_63507169_63508019	0.3	8
chr4_63528717_63529638	0.16	9
chr4_63668001_63669046	0.34	9
chr4_64632105_64632604	0.38	1
chr4_65496343_65496714	0.48	2
chr4_65594696_65595463	0.41	6
chr4_65674380_65675145	0.76	5
chr4_65695161_65695950	0.12	6
chr4_65958740_65959841	0.04	8
chr4_65964456_65965203	0.3	5
chr4_65976100_65977377	0.29	8
chr4_66482291_66483483	0.59	7
chr4_66523457_66524072	0.45	6
chr4_66550452_66551260	0.97	5
chr4_66618302_66619415	0.71	8
chr4_67522061_67522730	0.88	4
chr4_67589706_67590489	0.4	6
chr4_68890450_68891040	0.02	5
chr4_69095603_69096516	0.08	8
chr4_69382963_69383851	0.15	2
chr4_69533131_69533616	0.1	3
chr4_69752876_69753672	0.26	5
chr4_70024935_70025381	0.28	2
chr4_70058646_70059334	0.04	13
chr4_70185700_70186454	0.03	4
chr4_70229632_70230640	0.15	10
chr4_70517647_70518510	0.05	1
chr4_70619244_70620385	0.25	9
chr4_71130926_71131379	0.07	4
chr4_74587067_74587614	0.2	1
chr4_75466752_75467521	0.52	5
chr4_77155067_77156003	0.06	4
chr4_77647351_77648015	0.02	5
chr4_78288384_78289003	0.63	2
chr4_78335519_78336378	0.21	1
chr4_80203907_80204633	0.02	10
chr4_80745345_80745843	0	1
chr4_81580548_81581057	0.81	9
chr4_81743770_81744899	0.2	12
chr4_81937219_81937837	0.62	5
chr4_82028586_82029130	0.07	3
chr4_82234340_82234877	0.02	5
chr4_82294049_82294598	0.13	2
chr4_82555632_82556205	0.14	19
chr4_82690160_82690794	0.68	8
chr4_83090762_83091515	0.52	7
chr4_83343048_83344145	0.22	13
chr4_84064762_84065087	0.06	8
chr4_84130681_84131429	0.78	7
chr4_84388876_84389516	0.1	6
chr4_85162704_85163717	0.13	15
chr4_85175027_85175925	0.32	10
chr4_85300801_85301311	0.02	4
chr4_85486275_85487161	0.02	10
chr4_85728347_85729106	0.3	3
chr4_85813872_85814857	0.28	4
chr4_86482646_86483820	0.29	15
chr4_86503245_86503703	0.43	2
chr4_86748154_86749276	0.01	41
chr4_87018251_87019134	0.04	8
chr4_87126552_87127216	0.14	11
chr4_87273411_87273963	0.12	3
chr4_87473469_87474097	0.2	14
chr4_87566828_87567518	0.22	4
chr4_87728477_87729295	0.17	3
chr4_87866594_87867055	0	2
chr4_87984497_87985068	0.02	3
chr4_89387071_89387630	0.15	8
chr4_90863197_90863834	0.08	5
chr4_93879340_93880151	0.07	9
chr4_93886404_93887350	0.12	22
chr4_94017777_94018263	0.01	4
chr4_94144991_94145370	0.56	5
chr4_95588600_95589466	0.15	5
chr4_97648850_97649989	0.26	16
chr4_98345764_98346375	0.09	11
chr4_98541471_98542353	0.33	8
chr4_98593878_98594512	0.38	2
chr4_98635053_98635578	0.79	9
chr4_98654323_98654868	0.52	2
chr4_99083834_99084391	0.61	5
chr4_99929356_99930301	0	50
chr4_100095720_100096661	0	41
chr4_100588184_100589022	0.05	21
chr4_101026653_101027447	0.14	6
chr4_101036616_101037767	0.03	22
chr4_101158186_101159611	0.24	24
chr4_101219784_101220318	0.25	2
chr4_101244241_101245004	0.22	6
chr4_101416731_101417355	0.17	13
chr4_101692783_101693365	0.24	6
chr4_102148534_102149387	0.03	6
chr4_102545169_102546007	0.47	7
chr4_102717118_102717823	0.05	5
chr4_102868156_102869077	0.25	4
chr4_103170967_103171789	0.31	8
chr4_103206615_103207170	0.26	3
chr4_103288225_103289208	0.4	13
chr4_103475523_103476214	0.26	4
chr4_103630016_103630533	0.04	4
chr4_103881435_103882152	0.04	3
chr4_103896595_103897403	0.04	10
chr4_104113203_104114000	0.11	12
chr4_104563266_104563989	0.08	7
chr4_104663012_104663667	0.06	11
chr4_105203171_105203998	0.43	11
chr4_106167385_106168053	0.37	3
chr4_106256176_106256692	0.95	2
chr4_106499852_106500646	0.11	13
chr4_106580952_106582274	0.14	30
chr4_106886464_106887243	0.04	10
chr4_106895942_106896599	0.12	11
chr4_107124026_107124592	0.35	9
chr4_107150971_107151958	0.16	13
chr4_107163215_107164439	0.13	16
chr4_107426414_107427215	0.25	15
chr4_107588966_107589651	0.29	16
chr4_107598535_107599014	0.09	5
chr4_107717670_107718775	0.03	14
chr4_107765844_107766561	0.19	9
chr4_107984177_107985181	0.13	8
chr4_108033023_108033580	0.18	6
chr4_108059696_108060479	0.11	13
chr4_108276915_108277771	0.03	4
chr4_108327802_108328592	0.01	19
chr4_108459167_108460848	0	33
chr4_108948936_108949926	0.01	11
chr4_109406005_109407208	0.01	23
chr4_110165028_110166161	0.22	8
chr4_110323842_110324592	0.17	4
chr4_110757869_110758450	0.03	5
chr4_110788471_110789029	0.13	4
chr4_110915997_110917113	0.02	4
chr4_111019013_111019804	0.04	5
chr4_111107255_111108264	0.1	7
chr4_111215197_111215831	0.26	3
chr4_111280855_111282263	0.3	7
chr4_111307357_111308300	0.17	10
chr4_111402718_111403662	0	2
chr4_111467098_111467901	0.33	2
chr4_111498413_111499289	0.27	4
chr4_111577216_111577870	0.32	5
chr4_111719952_111720488	0.01	20
chr4_114372643_114373462	0.34	7
chr4_114416096_114416888	0.03	13
chr4_114448235_114449092	0.15	10
chr4_114459527_114461531	0.26	22
chr4_114635512_114636683	0.03	8
chr4_115650835_115651390	0.24	8
chr4_115847290_115848018	0.16	10
chr4_116007573_116008309	0.08	3
chr4_116033005_116033827	0.05	13
chr4_116143147_116143993	0.11	10
chr4_116149809_116150767	0.06	18
chr4_116160581_116161317	0.17	6
chr4_116243290_116243720	0.02	2
chr4_116405778_116406374	0.01	14
chr4_117018913_117020044	0.01	38
chr4_117997374_117998019	0.4	14
chr4_118196141_118196647	0.05	11
chr4_118245738_118246429	0.24	19
chr4_118457330_118458241	0.24	13
chr4_118500084_118500801	0.2	7
chr4_118542881_118543559	0.12	18
chr4_118571328_118571984	0.08	16
chr4_119245177_119246416	0.15	15
chr4_119359254_119359917	0.68	22
chr4_119761193_119762618	0.12	14
chr4_120044823_120045788	0.02	12
chr4_120127821_120128678	0.09	8
chr4_120215947_120216954	0.56	11
chr4_120272017_120272551	0.11	5
chr4_120613531_120614106	0.01	6
chr4_120660357_120661054	0	3
chr4_120701696_120702602	0.3	10
chr4_120717017_120718003	0.21	14
chr4_120859704_120860690	0.05	14
chr4_120951164_120951996	0	26
chr4_121009075_121009975	0.04	7
chr4_121103129_121103786	0.21	5
chr4_122937168_122938017	0.11	4
chr4_123080799_123081250	0.22	7
chr4_123147254_123148073	0.15	6
chr4_123152892_123153555	0.07	10
chr4_123249011_123249648	0.94	7
chr4_123383007_123383799	0.08	9
chr4_123792731_123793604	0.2	9
chr4_123803370_123803996	0.24	9
chr4_124143021_124143647	0.05	10
chr4_124175253_124176038	0.04	9
chr4_124198554_124199474	0.03	19
chr4_124210085_124210676	0.05	16
chr4_124265330_124266083	0.13	25
chr4_124575285_124575968	0.01	22
chr4_124594814_124595579	0.09	17
chr4_124999549_125000203	0.38	4
chr4_125020576_125021842	0.22	16
chr4_125248560_125249584	0.29	22
chr4_125396427_125397579	0.06	14
chr4_125419742_125420452	0.22	12
chr4_125636376_125637189	0.74	16
chr4_125756276_125756920	0.35	7
chr4_125780771_125781620	0.03	13
chr4_125814185_125815046	0.09	13
chr4_125824372_125825102	0.05	5
chr4_125826333_125826958	0.18	6
chr4_125847712_125848126	0.85	9
chr4_125936258_125936929	0.09	12
chr4_126320991_126322048	0.03	34
chr4_126485402_126486382	0.12	14
chr4_126575827_126576716	0.12	19
chr4_126653127_126653887	0.29	9
chr4_126823239_126823947	0.18	5
chr4_127225988_127226512	0.08	4
chr4_127368299_127368945	0.21	13
chr4_127442011_127442936	0.02	12
chr4_127509741_127510431	0.09	12
chr4_127517301_127518003	0.03	10
chr4_127542713_127543926	0.16	11
chr4_127593572_127594352	0.5	15
chr4_127600611_127601553	0.11	17
chr4_127640065_127641752	0.06	26
chr4_127659710_127660516	0.36	3
chr4_127701508_127702263	0.44	18
chr4_127707991_127708772	0.01	5
chr4_127763632_127764270	0.11	7
chr4_127788740_127789831	0.21	24
chr4_127810733_127811486	0.09	11
chr4_127826950_127827709	0.1	10
chr4_128002498_128003422	0.06	9
chr4_128128449_128129070	0.1	8
chr4_128217821_128218678	0.22	10
chr4_128275022_128275866	0.11	12
chr4_128284736_128285517	0.45	3
chr4_128341115_128341836	0.09	10
chr4_128358640_128359274	0.13	12
chr4_128476200_128477040	0.36	14
chr4_128698123_128698871	0.02	9
chr4_128898976_128899836	0.72	4
chr4_129204521_129205211	0.21	10
chr4_129262986_129264163	0.05	11
chr4_129297609_129298383	0.44	11
chr4_129350858_129351648	0.06	10
chr4_129608553_129609092	0.04	4
chr4_130012844_130013850	0.11	15
chr4_130023237_130024183	0.14	10
chr4_130036075_130037495	0.11	15
chr4_130140538_130141557	0	14
chr4_130263215_130263864	0.09	9
chr4_130539614_130540275	0.7	15
chr4_130557827_130558414	0.61	11
chr4_130865919_130866668	0.01	11
chr4_131046883_131047830	0.23	16
chr4_131120631_131121288	0.96	7
chr4_131132438_131133523	0.27	17
chr4_131205572_131206347	0.51	4
chr4_131303959_131304987	0.03	18
chr4_131324221_131325169	0.33	7
chr4_131375865_131376652	0.22	5
chr4_131383480_131384314	0.14	8
chr4_131500863_131501895	0.18	14
chr4_131614330_131615168	0.12	12
chr4_131718976_131719698	0.04	9
chr4_131762212_131762714	0.1	7
chr4_131763690_131764415	0.1	12
chr4_131805148_131805805	0.11	4
chr4_131821145_131822088	0.14	17
chr4_132074828_132075727	0.03	17
chr4_132131708_132132247	0.14	8
chr4_132621181_132621842	0.11	2
chr4_132809477_132810326	0.16	8
chr4_133479593_133480256	0.16	15
chr4_133563108_133563770	0.32	11
chr4_133774515_133775163	0.59	6
chr4_133887411_133888443	0.01	23
chr4_134067345_134068119	0.68	11
chr4_134107518_134108303	0.31	3
chr4_134395885_134396790	0.01	28
chr4_134425015_134425563	0.85	7
chr4_134430191_134431503	0.02	27
chr4_134444828_134445792	0.06	7
chr4_134496655_134497406	0.03	7
chr4_134591437_134592166	0.43	14
chr4_134631413_134632122	0.02	14
chr4_134745005_134746245	0.38	26
chr4_134884307_134885012	0.75	4
chr4_134993429_134995621	0.44	29
chr4_135272386_135273248	0	33
chr4_135433522_135434456	0.02	20
chr4_135831539_135832321	0.1	13
chr4_136205987_136206971	0.05	19
chr4_136716145_136717239	0.46	17
chr4_136730800_136731634	0.44	13
chr4_136786772_136787533	0.14	7
chr4_136848264_136849317	0.24	11
chr4_137133695_137134411	0.2	14
chr4_137212169_137212793	0.24	18
chr4_137250779_137251372	0.38	9
chr4_137437036_137437726	0.37	5
chr4_137484342_137485133	0.91	16
chr4_137578049_137578822	0.08	39
chr4_138367714_138368248	0.06	11
chr4_138370864_138371621	0.31	7
chr4_138379005_138379614	0.49	11
chr4_138434193_138435142	0.04	24
chr4_138479494_138480063	0.06	6
chr4_138529842_138530573	0	5
chr4_138548178_138549086	0.03	12
chr4_138638849_138639308	0.05	2
chr4_138659505_138660733	0.24	14
chr4_138685664_138686459	0.11	10
chr4_138723161_138725131	0.02	37
chr4_138755464_138756401	0.15	15
chr4_138840895_138842001	0.25	17
chr4_138978876_138979469	0.09	6
chr4_139033192_139034346	0.22	16
chr4_139067706_139068862	0.1	9
chr4_139081263_139082100	0.28	18
chr4_139130608_139131385	0	38
chr4_139146604_139147267	0.35	7
chr4_139225064_139225493	0.4	4
chr4_139258573_139259157	0.07	6
chr4_139380121_139381029	0	26
chr4_139716410_139717041	0.21	8
chr4_139737047_139737881	0.04	14
chr4_140037696_140038574	0.07	10
chr4_140115609_140116704	0.35	18
chr4_140165674_140166452	0.86	8
chr4_140234364_140235303	0.13	13
chr4_140278180_140279126	0.49	6
chr4_140335522_140336144	0.45	11
chr4_140371326_140372233	0.16	22
chr4_140461150_140461944	0.28	22
chr4_140469610_140470547	0.07	16
chr4_140724555_140725293	0.09	9
chr4_141067152_141067779	0.74	3
chr4_141244567_141245269	0.64	12
chr4_141267901_141268443	0.09	13
chr4_141419945_141420735	0.46	6
chr4_141779423_141780411	0.1	15
chr4_141833786_141834448	0.17	1
chr4_141885305_141886056	0.06	12
chr4_141928568_141929457	0.19	15
chr4_141998324_141998663	0.18	7
chr4_142136687_142137520	0.93	13
chr4_142209606_142210024	0.55	9
chr4_142239176_142239849	0.22	6
chr4_142772927_142774233	0.25	24
chr4_142856518_142857140	0.18	9
chr4_143111623_143112420	0.47	12
chr4_143278116_143279310	0.19	28
chr4_145052579_145053406	0	1
chr4_145104773_145105684	0.04	9
chr4_145207559_145208511	0.31	7
chr4_145319140_145319785	0.17	2
chr4_148053201_148054189	0.11	17
chr4_148214210_148215277	0.2	7
chr4_148287815_148288734	0.05	21
chr4_148297413_148298161	0.06	8
chr4_148298605_148299101	0.05	6
chr4_148900669_148901117	0	9
chr4_149166392_149167285	0.01	35
chr4_149461555_149462598	0.31	2
chr4_149538880_149539758	0.18	15
chr4_149555976_149556702	0.06	8
chr4_149840678_149841538	0.08	7
chr4_149918312_149918907	0.12	9
chr4_150109607_150110119	0.42	3
chr4_150226760_150227286	0.41	6
chr4_150956178_150957201	0.28	16
chr4_151057343_151058463	0	15
chr4_151165380_151166095	0.61	14
chr4_151178844_151179591	0.02	8
chr4_151200234_151201294	0.1	17
chr4_151223625_151224552	0.34	20
chr4_151411482_151412394	0.06	18
chr4_151519957_151520614	0.85	11
chr4_151640712_151641427	0.04	16
chr4_151751549_151752405	0.29	19
chr4_152077791_152078592	0.36	7
chr4_152100350_152101099	0.03	12
chr4_152141332_152142181	0.1	11
chr4_152405065_152406605	0.04	20
chr4_152427932_152429327	0.13	12
chr4_152520067_152520526	0.45	8
chr4_152614318_152615626	0.1	16
chr4_152779092_152780058	0.14	25
chr4_152832709_152833632	0.07	13
chr4_153002130_153002951	0.37	7
chr4_153017683_153019097	0.04	36
chr4_153128984_153129859	0.53	9
chr4_153459003_153460460	0.14	33
chr4_153557866_153558669	0.04	20
chr4_153716517_153717188	0.32	11
chr4_153752760_153753430	0.25	9
chr4_153917736_153918572	0.01	9
chr4_154064813_154065574	0.11	6
chr4_154080263_154080674	0.2	5
chr4_154252568_154253359	0.35	18
chr4_154401383_154403070	0.31	16
chr4_154424683_154425820	0.32	38
chr4_154438438_154439836	0.3	46
chr4_154454802_154455355	0.38	12
chr4_154557911_154558539	0.26	9
chr4_155024093_155024911	0.66	11
chr4_155152196_155153197	0.7	12
chr4_155264269_155265480	0.55	7
chr4_155360984_155362060	0.03	31
chr4_155734081_155735809	0.02	11
chr4_155769883_155770834	0.04	20
chr4_155812086_155813157	0	19
chr4_156203253_156203990	0	33
chr5_3151866_3152735	0	16
chr5_3927829_3928847	0	18
chr5_4485817_4486654	0.72	6
chr5_5648739_5649386	0.13	5
chr5_7344019_7345242	0	57
chr5_7917439_7918606	0.04	16
chr5_9495371_9496057	0.01	5
chr5_9661878_9662728	0.14	9
chr5_9683039_9683650	0.04	5
chr5_13262970_13263782	0.11	4
chr5_13383972_13385093	0.13	10
chr5_13495916_13496445	0.06	3
chr5_13499823_13500295	0.09	2
chr5_13667568_13668125	0.13	5
chr5_15914862_15915412	0.21	3
chr5_16056542_16057208	0.2	4
chr5_16297186_16297939	0.22	7
chr5_18035850_18036526	0.2	12
chr5_18228720_18229584	0.03	8
chr5_19870020_19870994	0.04	11
chr5_19999421_20000045	0.08	7
chr5_20461632_20462895	0.16	6
chr5_20568233_20569351	0.05	16
chr5_21593165_21593830	0.35	9
chr5_21608409_21609418	0.02	14
chr5_21804554_21805470	0.32	8
chr5_22153585_22154158	0.38	9
chr5_22330684_22331525	0.66	10
chr5_22486536_22487193	0.71	7
chr5_23531445_23532109	0.06	11
chr5_23764600_23765102	0.04	6
chr5_23850179_23851187	0.03	39
chr5_24041154_24041737	0.2	3
chr5_24046147_24046901	0.07	7
chr5_24266306_24267037	0.12	18
chr5_24329037_24330270	0.78	11
chr5_24360751_24361329	0.05	7
chr5_24629905_24630690	0.42	11
chr5_25115840_25116545	0.05	7
chr5_25160356_25161469	0.23	18
chr5_25599276_25599886	0.46	2
chr5_25791579_25792322	0.08	10
chr5_26497712_26498222	0.6	1
chr5_26572760_26573366	0.86	2
chr5_26817179_26818075	0.03	49
chr5_26903857_26905110	0.02	40
chr5_27010516_27011032	0.88	5
chr5_27641853_27642270	0.03	1
chr5_27717084_27718121	0.24	7
chr5_27906450_27907479	0.45	6
chr5_28251067_28252004	0.12	6
chr5_28520830_28521818	0.26	10
chr5_28704310_28704899	0.07	4
chr5_28819004_28819619	0.01	7
chr5_29195379_29196369	0	51
chr5_29377430_29378885	0.02	76
chr5_29568814_29569980	0.01	69
chr5_30993167_30993879	0.02	4
chr5_31201547_31202687	0.01	23
chr5_31590935_31591606	0.15	12
chr5_31750260_31751139	0.04	11
chr5_31906080_31906694	0.54	9
chr5_31984117_31985308	0.01	17
chr5_32009783_32010856	0.21	8
chr5_32037488_32038016	0.22	5
chr5_32245300_32245880	0.43	5
chr5_32493718_32494696	0.1	5
chr5_32610612_32611731	0	34
chr5_32949834_32950738	0.2	10
chr5_33220392_33221128	0.21	8
chr5_33709302_33709601	0.36	2
chr5_33875502_33875919	0.72	1
chr5_34169202_34170047	0.02	35
chr5_34197016_34197805	0.17	5
chr5_34297931_34298715	0.38	3
chr5_34502272_34503081	0.41	7
chr5_35128961_35130205	0.05	27
chr5_35159045_35159667	0.74	11
chr5_35188859_35189934	0.72	14
chr5_35330848_35331218	0.05	4
chr5_35743806_35744582	0.52	8
chr5_35814144_35815442	0.02	6
chr5_35836398_35837549	0.22	17
chr5_36024202_36025534	0.59	15
chr5_36085388_36086313	0.07	7
chr5_36213112_36213936	0.2	10
chr5_36226144_36227202	0.12	18
chr5_36304229_36304861	0.14	9
chr5_36379833_36380655	0.35	7
chr5_36426164_36426757	0.07	11
chr5_36493427_36494434	0.5	14
chr5_36669256_36670066	0.01	5
chr5_36694989_36696372	0	48
chr5_36904077_36904613	0.04	2
chr5_37220498_37221051	0.04	9
chr5_37320001_37321238	0.1	9
chr5_37657703_37658333	0.23	14
chr5_37859923_37860861	0.03	9
chr5_38371685_38373038	0.11	7
chr5_38427753_38428274	0.06	5
chr5_38531989_38532688	0.53	8
chr5_38582720_38583612	0.13	8
chr5_38775337_38776010	0.14	14
chr5_38871522_38872262	0.32	6
chr5_38898523_38899033	0.1	1
chr5_38945951_38946712	0.29	6
chr5_39062629_39063623	0.16	6
chr5_39214531_39215121	0.16	3
chr5_39457926_39458584	0.39	2
chr5_40701402_40702209	0.12	8
chr5_40901665_40902309	0.13	1
chr5_41707564_41708853	0	37
chr5_42238994_42240259	0.11	10
chr5_42250522_42250986	0.4	2
chr5_43328464_43329270	0.33	10
chr5_43338727_43339489	0.08	10
chr5_43384449_43385344	0.25	6
chr5_43634654_43635637	0.3	14
chr5_44100494_44101376	0	44
chr5_44151244_44152241	0.6	6
chr5_44257272_44257820	0.25	6
chr5_44386942_44387904	0.17	8
chr5_44465154_44466005	0.46	9
chr5_44876470_44878005	0.02	8
chr5_44886605_44887286	0.03	3
chr5_45143963_45144732	0.02	5
chr5_45195973_45196623	0.09	4
chr5_45298749_45299359	0.02	2
chr5_45300932_45301620	0	1
chr5_52023070_52023748	0.01	13
chr5_52213012_52213755	0.01	7
chr5_52388194_52388736	0.02	3
chr5_52909946_52910740	0.2	17
chr5_52937601_52938487	0.16	5
chr5_52954572_52955321	0.22	6
chr5_53025179_53025893	0.81	9
chr5_53161435_53162018	0.48	7
chr5_53242995_53243625	0.15	7
chr5_53355015_53355484	0.02	7
chr5_53494333_53495175	0.13	20
chr5_54046452_54046868	0.83	1
chr5_54100759_54101868	0	11
chr5_54240933_54241498	0.05	12
chr5_57840962_57842159	0.32	9
chr5_62777509_62778960	0.04	21
chr5_63097797_63098639	0.02	1
chr5_63391726_63392649	0.25	10
chr5_63498897_63499600	0.06	3
chr5_63607403_63608237	0.13	4
chr5_63766784_63767425	0.15	6
chr5_64044818_64045919	0.11	29
chr5_64701491_64702277	0.04	12
chr5_64824710_64825202	0.1	3
chr5_64861900_64862760	0.07	18
chr5_65234730_65235254	0.13	14
chr5_65273805_65274417	0.03	3
chr5_65390964_65391789	0	69
chr5_66436663_66437110	0	3
chr5_67010869_67011558	0.76	14
chr5_67348685_67349337	0.1	8
chr5_68149806_68150393	0.09	3
